r,G(r),G_err(r)
1.221376856576178227e+02,7.427351281063435118e-02,3.013719471746249823e-02
1.223489227694590369e+02,8.278969668369978718e-02,2.687583768529840794e-02
1.225562839709912311e+02,7.860906987033419724e-02,2.736989948664997688e-02
1.227597692622144194e+02,8.197819326757226077e-02,2.697391621427997974e-02
1.229593786431285878e+02,7.433903476410846922e-02,2.949037683688415790e-02
1.231551121137337503e+02,7.410368724204818847e-02,2.884047514707899218e-02
1.233469696740298929e+02,7.961818521118110836e-02,2.751375232379467059e-02
1.235349513240170154e+02,7.421023813396566970e-02,2.717364239125951916e-02
1.237190570636951321e+02,7.209667082755454037e-02,3.097396050374056839e-02
1.238992868930642430e+02,7.343122423764689155e-02,2.946712648878159133e-02
1.240756408121243339e+02,7.300971071657155753e-02,2.865882271275848811e-02
1.242481188208754190e+02,7.491853595027521406e-02,3.035065619633520520e-02
1.244167209193174841e+02,7.443999623114322395e-02,2.793593442308469829e-02
1.245814471074505292e+02,6.891068792321305980e-02,3.153725850268680742e-02
1.247422973852745685e+02,6.652624363784746808e-02,3.194809621255773752e-02
1.248992717527896019e+02,7.104909761105220045e-02,3.031662948056243825e-02
1.250523702099956154e+02,6.857717710033223169e-02,3.068125687714899630e-02
1.252015927568926088e+02,6.809554528623135150e-02,3.098274829522658022e-02
1.253469393934805964e+02,7.855140104900792952e-02,3.031177961418811406e-02
1.254884101197595783e+02,6.084772933858152710e-02,3.310000096982446127e-02
1.256260049357295401e+02,6.867998246157809572e-02,3.277506142500276332e-02
1.257597238413904819e+02,6.553133095418428589e-02,3.229760282809085448e-02
1.258895668367424179e+02,6.335916876824582156e-02,3.170297879562817417e-02
1.260155339217853481e+02,7.435089229537637789e-02,3.135023099378607403e-02
1.261376250965192440e+02,6.544038418724001938e-02,3.128795892391123684e-02
1.262558403609441484e+02,7.331997468907695825e-02,3.129116367997924336e-02
1.263701797150600328e+02,5.927409401651925064e-02,3.579980332901071954e-02
1.264806431588668971e+02,5.711251745480266928e-02,3.267535720100137042e-02
1.265872306923647557e+02,6.382990905953803140e-02,3.384983122410275408e-02
1.266899423155536084e+02,6.565473016280069796e-02,3.331317166643727595e-02
1.267887780284334411e+02,6.129075771281685542e-02,3.353596602479969740e-02
1.268837378310042538e+02,6.245512888822397912e-02,3.373844617780277083e-02
1.269748217232660608e+02,6.892732323702456532e-02,3.229346263093189895e-02
1.270620297052188477e+02,6.350552607747149414e-02,3.302651623594544950e-02
1.271453617768626287e+02,6.016007716547197570e-02,3.119232024283817573e-02
1.272248179381974040e+02,5.792754762120924661e-02,3.277027951054758970e-02
1.273003981892231593e+02,5.832937535189377382e-02,3.607671536906992965e-02
1.273721025299398946e+02,5.448420219392770963e-02,3.533895317452565715e-02
1.274399309603476240e+02,5.647683491809174505e-02,3.575515450428572856e-02
1.275038834804463335e+02,5.403281115212826835e-02,3.537009129485616660e-02
1.275639600902360371e+02,5.818575946179523756e-02,3.358985298699728589e-02
1.276201607897167207e+02,6.874320376725828741e-02,3.513566243594085092e-02
1.276724855788883985e+02,7.276550279762009077e-02,3.412144484474623901e-02
1.277209344577510706e+02,5.519354741548596066e-02,3.425293869008853853e-02
1.277655074263047084e+02,6.997220874471302143e-02,3.382662849692152918e-02
1.278062044845493546e+02,5.389558428026461345e-02,3.656466133430406884e-02
1.278430256324849665e+02,5.894787424620091809e-02,3.318654950157597788e-02
1.278759708701115869e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.279050401974291873e+02,4.972939648023808057e-02,3.803863992531130583e-02
1.279302336144377676e+02,5.469586337179983826e-02,3.843379904309304762e-02
1.279515511211373422e+02,6.725350177218417103e-02,3.731250279962196326e-02
1.279689927175278967e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.279825584036094455e+02,8.839880216485519748e-02,3.965287936382827505e-02
1.279922481793819742e+02,8.035990106331306060e-02,3.641600765162315845e-02
1.279980620448454971e+02,4.178334309741030261e-02,4.575193388218641577e-02
