r,G(r),G_err(r)
1.273003981892231593e+02,5.165118711829446152e-01,4.234818605881326969e-02
1.273721025299398946e+02,5.177191349979777257e-01,4.300106965924976876e-02
1.274399309603476240e+02,5.163451877551213931e-01,4.388496868957091068e-02
1.275038834804463335e+02,5.165052552722402268e-01,4.372718760278232475e-02
1.275639600902360371e+02,5.267004860200139582e-01,4.307265222570060004e-02
1.276201607897167207e+02,5.213983869814783345e-01,4.077982755007844573e-02
1.276724855788883985e+02,5.288737197914328281e-01,4.246291987058201101e-02
1.277209344577510706e+02,5.252572127262694623e-01,4.214621807818088456e-02
1.277655074263047084e+02,5.402285785721387956e-01,4.011659754740733164e-02
1.278062044845493546e+02,5.230037461253038700e-01,4.560431254279530972e-02
1.278430256324849665e+02,5.337574029285191424e-01,4.226270547262291066e-02
1.278759708701115869e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.279050401974291873e+02,5.113114035203872865e-01,4.682803658624239834e-02
1.279302336144377676e+02,5.342427929039861301e-01,4.541622411282989630e-02
1.279515511211373422e+02,5.380098153793885229e-01,3.823915971466789604e-02
1.279689927175278967e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.279825584036094455e+02,5.391163859572974948e-01,3.831192897867345681e-02
1.279922481793819742e+02,5.387879654243479255e-01,3.785900738550921490e-02
1.279980620448454971e+02,5.047085955703277671e-01,5.083424888642695816e-02
